code,families,non_families
04750,45708,29174
04756,70253,25237
04757,83297,38843
04758,72770,32598
04760,59026,56399
04761,74657,33230
04762,58368,34968
04763,51765,20753
04764,48708,20753
04765,57778,27399
04766,59488,33571
04768,67556,40353
04769,70634,40780
04772,70994,42381
04773,55851,39778
04774,54049,31093
04776,59237,30482
04777,52690,20494
04779,58964,32312
04780,70732,44630
04781,59628,21902
04783,74323,25760
04785,55103,26163
04786,59504,25256
04787,48784,21623
04841,68624,35994
04843,94508,56535
04847,86826,40640
04848,127033,77561
04849,104353,51010
04851,99889,20037
04852,77336,67591
04853,95119,65747
04854,94606,62906
04855,105388,62906
04856,112586,44491
04858,93548,44950
04859,83815,69213
04860,75319,74695
04861,65216,41409
04862,75348,41494
04863,97626,54274
04864,67103,61899
04901,78267,40423
04910,67101,36893
04911,55986,27976
04912,49347,18317
04915,80006,50158
04917,94230,64464
04918,63082,78052
04920,61768,23068
04921,53264,33060
04922,63944,39892
04923,59539,22059
04924,66399,30228
04925,62814,26420
04926,62814,26420
04927,61840,33651
04928,70520,30439
04929,72195,33630
04930,50989,28771
04932,72212,30842
04933,72212,30842
04936,74689,51245
04937,63897,27924
04938,73226,36066
04939,66539,30244
04940,66539,30244
04941,64417,37092
04942,49589,26663
04943,59734,23398
04944,59734,23398
04945,69781,35459
04947,89757,38939
04949,61272,40830
04950,67535,34541
04951,63284,40638
04952,72510,44719
04953,72844,32402
04955,73846,25350
04956,78840,27450
04957,72089,41437
04958,71265,29883
04961,74497,35763
04962,52302,35763
04963,87452,33447
04964,93268,25206
04965,69325,29646
04966,55761,40169
04967,67764,28296
04969,73662,37977
04970,89240,38896
04971,90173,35660
04973,73255,48841
04974,64866,28897
04975,64866,28897
04976,65134,27934
04978,77371,56518
04979,63620,45729
04981,76530,53546
04982,60832,35312
04983,76091,34128
04984,80148,35170
04985,40887,28580
04986,64055,35845
04987,58136,34978
04988,67539,40837
04989,85037,44388
04992,85037,44388
05001,98736,49114
05031,250980,49114
05032,73443,36262
05033,72647,38146
05034,131411,20400
05035,71644,61775
05036,81695,40753
05037,111503,50052
05038,66736,34616
05039,77436,36958
05040,71017,64251
05041,74279,63352
05042,81732,44775
05043,115595,55566
05045,91577,42583
05046,73070,32450
05048,102031,38196
05050,69287,54397
05051,74481,36687
05052,92692,67032
05053,128578,58181
05055,177556,76566
05056,115263,32545
05058,117883,34420
05059,129133,34420
05060,84306,50025
05061,85906,56460
05062,70783,56680
05065,103451,44555
05067,138013,117525
05068,77452,44391
05069,76454,40347
05070,139906,43021
05071,139906,43021
05072,124523,47976
05075,103025,75846
05076,59453,29756
05077,95086,67947
05079,62728,44186
05081,48670,22642
05083,86845,23940
05084,84563,23940
05086,66743,34528
05089,82641,38067
05091,145342,57106
05101,65993,42469
05141,40346,18033
05142,75735,31641
05143,88365,33408
05146,87113,43506
05148,131531,75690
05149,79568,58668
05150,49318,43242
05151,79557,42886
05152,85888,68240
05153,88354,37073
05154,83171,31065
05155,79717,31492
05156,71830,40422
05158,68560,53279
05161,143031,39096
05201,78186,42677
05250,95833,49996
05251,89022,61493
05252,89091,52417
05253,116109,31501
05254,183708,54744
05255,117690,45923
05257,90301,42631
05260,116836,53369
05261,67507,51273
05262,102260,47965
05301,85864,44666
05340,73098,58685
05341,82456,46480
05342,69622,40380
05343,92249,41423
05345,85329,43034
05346,89794,70281
05350,74292,39494
05352,104903,47239
05353,106078,36914
05354,100776,57193
05355,97807,51460
05356,82789,32034
05358,89069,37029
05359,92726,47590
05360,125109,60581
05361,78090,48797
05362,77412,48797
05363,87224,40619
05401,99898,46788
05403,115672,65201
05404,67417,54322
05405,67417,54322
05408,100791,55793
05439,100791,55793
05440,83281,37398
05441,81675,51138
05442,74878,34109
05443,85841,50382
